negative indicative future 2PL	չէք երգելու	չէք ուղարկելու	չէք կարդալու	չէք ցանկանալու	չէք ուրախանալու	չէք վերցնելու	չէք ուրախացնելու	չէք մեռնելու	չէք իջնելու	չէք փախնելու	չէք առնելու	չէք տեսնելու	չէք էլնելու	չէք թողնելու	չէք ուտելու	չէք անելու	չէք տանելու	չէք դնելու	չէք էթալու	չէք տալու	չէք գալու				չէք բերելու	չէք ասելու	չէք դառնալու	չէք լուանալու	չէք բացելու
negative indicative future 3PL	չեն երգելու	չեն ուղարկելու	չեն կարդալու	չեն ցանկանալու	չեն ուրախանալու	չեն վերցնելու	չեն ուրախացնելու	չեն մեռնելու	չեն իջնելու	չեն փախնելու	չեն առնելու	չեն տեսնելու	չեն էլնելու	չեն թողնելու	չեն ուտելու	չեն անելու	չեն տանելու	չեն դնելու	չեն էթալու	չեն տալու	չեն գալու				չեն բերելու	չեն ասելու	չեն դառնալու	չեն լուանալու	չեն բացելու
indicative future perfect 1SG	երգելու իմ	ուղարկելու իմ	կարդալու իմ	ցանկանալու իմ	ուրախանալու իմ	վերցնելու իմ	ուրախացնելու իմ	մեռնելու իմ	իջնելու իմ	փախնելու իմ	առնելու իմ	տեսնելու իմ	էլնելու իմ	թողնելու իմ	ուտելու իմ	անելու իմ	տանելու իմ	դնելու իմ	էթալու իմ	տալու իմ	գալու իմ				բերելու իմ	ասելու իմ	դառնալու իմ	լուանալու իմ	բացելու իմ
indicative future perfect 2SG	երգելու իր	ուղարկելու իր	կարդալու իր	ցանկանալու իր	ուրախանալու իր	վերցնելու իր	ուրախացնելու իր	մեռնելու իր	իջնելու իր	փախնելու իր	առնելու իր	տեսնելու իր	էլնելու իր	թողնելու իր	ուտելու իր	անելու իր	տանելու իր	դնելու իր	էթալու իր	տալու իր	գալու իր				բերելու իր	ասելու իր	դառնալու իր	լուանալու իր	բացելու իր
indicative future perfect 3SG	երգելու էր	ուղարկելու էր	կարդալու էր	ցանկանալու էր	ուրախանալու էր	վերցնելու էր	ուրախացնելու էր	մեռնելու էր	իջնելու էր	փախնելու էր	առնելու էր	տեսնելու էր	էլնելու էր	թողնելու էր	ուտելու էր	անելու էր	տանելու էր	դնելու էր	էթալու էր	տալու էր	գալու էր				բերելու էր	ասելու էր	դառնալու էր	լուանալու էր	բացելու էր
indicative future perfect 1PL	երգելու ինք	ուղարկելու ինք	կարդալու ինք	ցանկանալու ինք	ուրախանալու ինք	վերցնելու ինք	ուրախացնելու ինք	մեռնելու ինք	իջնելու ինք	փախնելու ինք	առնելու ինք	տեսնելու ինք	էլնելու ինք	թողնելու ինք	ուտելու ինք	անելու ինք	տանելու ինք	դնելու ինք	էթալու ինք	տալու ինք	գալու ինք				բերելու ինք	ասելու ինք	դառնալու ինք	լուանալու ինք	բացելու ինք
indicative future perfect 2PL	երգելու իք	ուղարկելու իք	կարդալու իք	ցանկանալու իք	ուրախանալու իք	վերցնելու իք	ուրախացնելու իք	մեռնելու իք	իջնելու իք	փախնելու իք	առնելու իք	տեսնելու իք	էլնելու իք	թողնելու իք	ուտելու իք	անելու իք	տանելու իք	դնելու իք	էթալու իք	տալու իք	գալու իք				բերելու իք	ասելու իք	դառնալու իք	լուանալու իք	բացելու իք
indicative future perfect 3PL	երգելու ին	ուղարկելու ին	կարդալու ին	ցանկանալու ին	ուրախանալու ին	վերցնելու ին	ուրախացնելու ին	մեռնելու ին	իջնելու ին	փախնելու ին	առնելու ին	տեսնելու ին	էլնելու ին	թողնելու ին	ուտելու ին	անելու ին	տանելու ին	դնելու ին	էթալու ին	տալու ին	գալու ին				բերելու ին	ասելու ին	դառնալու ին	լուանալու ին	բացելու ին
negative indicative future perfect 1SG	չիմ երգելու	չիմ ուղարկելու	չիմ կարդալու	չիմ ցանկանալու	չիմ ուրախանալու	չիմ վերցնելու	չիմ ուրախացնելու	չիմ մեռնելու	չիմ իջնելու	չիմ փախնելու	չիմ առնելու	չիմ տեսնելու	չիմ էլնելու	չիմ թողնելու	չիմ ուտելու	չիմ անելու	չիմ տանելու	չիմ դնելու	չիմ էթալու	չիմ տալու	չիմ գալու				չիմ բերելու	չիմ ասելու	չիմ դառնալու	չիմ լուանալու	չիմ բացելու
negative indicative future perfect 2SG	չիր երգելու	չիր ուղարկելու	չիր կարդալու	չիր ցանկանալու	չիր ուրախանալու	չիր վերցնելու	չիր ուրախացնելու	չիր մեռնելու	չիր իջնելու	չիր փախնելու	չիր առնելու	չիր տեսնելու	չիր էլնելու	չիր թողնելու	չիր ուտելու	չիր անելու	չիր տանելու	չիր դնելու	չիր էթալու	չիր տալու	չիր գալու				չիր բերելու	չիր ասելու	չիր դառնալու	չիր լուանալու	չիր բացելու
